model	fraud_prop	normalized	time	accuracy	precision	recall	F1
logReg	0	0	101.5	0.998645684122049	0.3735632183908046	0.49295774647887325	0.42503503035964496
decision_tree	0	0	56.0	0.9997326573855873	0.8973727422003284	0.902559867877787	0.8999588307945657
svm	0	0	50.1	0.003725193795891065	1.0	0.0013432174137440476	0.002682831201899568
logReg	0	1	57.3	0.9987173784131578	0	0	0
decision_tree	0	1	56.1	0.9987173784131578	0	0	0
svm	0	1	140.5	0.9987173784131578	0	0	0
logReg	1	0	0.7	0.9045590115040477	0.898989898989899	0.9112627986348123	0.9050847457627119
decision_tree	1	0	0.1	0.9919045590115041	0.9941077441077442	0.9899413243922883	0.9920201595968081
svm	1	0	0.1	0.5066041755432467	1.0	0.5063938618925832	0.6723259762308998
logReg	1	1	0.3	0.5010299026919526	0	0	0
decision_tree	1	1	0.1	0.4989700973080474	1.0	0.4989700973080474	0.6657505686125853
svm	1	1	0.4	0.5384615384615384	0.49836298932384343	0.5406949806949807	0.5186666666666667
logReg	2	0	0.7	0.9099431818181818	0.854251012145749	0.8850671140939598	0.8693860733415739
decision_tree	2	0	0.2	0.9943181818181818	0.994331983805668	0.9895245769540693	0.9919224555735057
svm	2	0	0.2	0.3508522727272727	1.0	0.3508522727272727	0.519453207150368
logReg	2	1	0.7	0.6695866281547421	0	0	0
decision_tree	2	1	0.2	0.3304133718452578	1.0	0.3304133718452578	0.4967078335765384
svm	2	1	0.5	0.3304133718452578	1.0	0.3304133718452578	0.4967078335765384
logReg	3	0	1.1	0.9309757136770345	0.8391489361702128	0.8795718108831401	0.8588850174216028
decision_tree	3	0	0.2	0.9927567106945037	0.9940425531914894	0.9774058577405857	0.9856540084388186
svm	3	0	0.3	0.2509586706433745	1.0	0.2504796418674057	0.4006137061029662
logReg	3	1	0.7	0.7500532708288941	0	0	0
decision_tree	3	1	0.3	0.2499467291711059	1.0	0.2499467291711059	0.39993181043300374
svm	3	1	0.7	0.2499467291711059	1.0	0.2499467291711059	0.39993181043300374
logReg	4	0	1.3	0.937787625703085	0.8162428219852338	0.8758802816901409	0.8450106157112528
decision_tree	4	0	0.2	0.9940344298619397	0.9835931091058244	0.9876441515650741	0.9856144677353061
svm	4	0	0.4	0.2091358445542867	1.0	0.20805598224953065	0.34444758406329473
logReg	4	1	1.0	0.8012955281550088	0	0	0
decision_tree	4	1	0.2	0.8012955281550088	0	0	0
svm	4	1	0.9	0.8012955281550088	0	0	0
