fraud_prop	normalized	x	y	z	time	accuracy	precision	recall	f1
1	0	256	64	2	4	0.5061781	1	0.5061781	0.672135785
1	0	256	256	2	9.8	0.5061781	1	0.5061781	0.672135785
1	0	512	64	2	7.8	0.5061781	1	0.5061781	0.672135785
1	1	256	64	2	7	0.501029903	0	0	0
1	1	256	256	2	15.6	0.501029903	0	0	0
1	1	512	64	2	12.4	0.501029903	0	0	0
2	0	256	64	2	5	0.649147727	0	0	0
2	0	256	256	2	10.9	0.649147727	0	0	0
2	0	512	64	2	7.2	0.649147727	0	0	0
2	1	256	64	2	8.2	0.669586628	0	0	0
2	1	256	256	2	514.2	0.669586628	0	0	0
2	1	512	64	2	21.7	0.669586628	0	0	0
3	0	256	64	2	6.9	0.749680443	0	0	0
3	0	256	256	2	15	0.749680443	0	0	0
3	0	512	64	2	10.4	0.749680443	0	0	0
3	1	256	64	2	11.4	0.750053271	0	0	0
3	1	256	256	2	31.7	0.750053271	0	0	0
3	1	512	64	2	21.5	0.750053271	0	0	0
4	0	256	64	2	8.5	0.792227714	0	0	0
4	0	256	256	2	17.4	0.792227714	0	0	0
4	0	512	64	2	13.2	0.792227714	0	0	0
4	1	256	64	2	14.2	0.801295528	0	0	0
4	1	256	256	2	29.4	0.801295528	0	0	0
4	1	512	64	2	23.7	0.801295528	0	0	0
5	0	256	64	2	11.7	0.831960227	0	0	0
5	0	256	256	2	20.3	0.831960227	0	0	0
5	0	512	64	2	15.3	0.831960227	0	0	0
5	1	256	64	2	16.7	0.833562195	0	0	0
5	1	256	256	2	35.3	0.833562195	0	0	0
5	1	512	64	2	31.8	0.833562195	0	0	0
