model	fraud_prop	normalized	time	accuracy	precision	recall	F1
logReg	1	0	1.4	0.911869921	0.898989899	0.006019784	0.011959486
gaussian	1	0	13.1	0.498521984	0.855218855	0.001010968	0.002019549
decision_tree	1	0	1.2	0.988341182	0.996632997	0.048277268	0.092093494
svm	1	0	33.5	0.00280371	1	0.000594618	0.001188529
logReg	2	0	2.6	0.942827124	0.855060729	0.009148877	0.018104047
gaussian	2	0	30.3	0.505854197	0.856680162	0.001067703	0.002132748
decision_tree	2	0	1.6	0.99365367	0.987854251	0.087643678	0.161002969
svm	2	0	29.2	0.002885921	1	0.000617817	0.001234872
logReg	3	0	4.1	0.954454396	0.841702128	0.010737395	0.021204292
gaussian	3	0	34.8	0.506986602	0.881702128	0.001047271	0.002092057
decision_tree	3	0	1.1	0.994777757	0.98893617	0.100017215	0.181661846
svm	3	0	58.3	0.002371434	1	0.000587173	0.001173656
logReg	4	0	3	0.968637502	0.815422477	0.015609787	0.030633157
gaussian	4	0	46	0.752852507	0.609515997	0.001497948	0.002988551
decision_tree	4	0	3.9	0.995320727	0.984413454	0.113561086	0.203631427
svm	4	0	33.8	0.003772932	1	0.000609647	0.001218551
logReg	1	1	0.1	0.501029903	0	0	0
gaussian	1	1	9	0.498970097	1	0.498970097	0.665750569
decision_tree	1	1	0.1	0.498970097	1	0.498970097	0.665750569
svm	1	1	0.3	0.498970097	1	0.498970097	0.665750569
logReg	2	1	0.2	0.669586628	0	0	0
gaussian	2	1	15	0.330413372	1	0.330413372	0.496707834
decision_tree	2	1	0.2	0.330413372	1	0.330413372	0.496707834
svm	2	1	0.6	0.330413372	1	0.330413372	0.496707834
logReg	3	1	1.6	0.750053271	0	0	0
gaussian	3	1	31.9	0.249946729	1	0.249946729	0.39993181
decision_tree	3	1	0.2	0.249946729	1	0.249946729	0.39993181
svm	3	1	0.8	0.750053271	0	0	0
logReg	4	1	0.8	0.801295528	0	0	0
gaussian	4	1	35.8	0.16600375	0.499714041	0.119076011	0.192323566
decision_tree	4	1	0.2	0.198704472	1	0.198704472	0.331532044
svm	4	1	1.2	0.198704472	1	0.198704472	0.331532044
