model	fraud_prop	normalized	time	accuracy	precision	recall	F1
logReg	1	0	0.2	0.9091600662281291	0.9015151515151515	0.3589142091152815	0.5134228187919463
gaussian	1	0	11.2	0.5125520204054236	0.8560606060606061	0.08663429593662152	0.15734509166860058
decision_tree	1	0	0.1	0.9904237705284825	0.9957912457912458	0.8498563218390804	0.9170542635658914
svm	1	0	0.3	0.05548843245178324	1.0	0.0532854900201839	0.1011795767150705
logReg	1	1	0.1	0.5010299026919526	0	0	0
gaussian	1	1	9.3	0.4989700973080474	1.0	0.4989700973080474	0.6657505686125853
decision_tree	1	1	0.1	0.4989700973080474	1.0	0.4989700973080474	0.6657505686125853
svm	1	1	0.3	0.5368278997087861	0.49836298932384343	0.538781163434903	0.5177845152702802
logReg	2	0	0.3	0.9425170068027211	0.8477732793522267	0.4735413839891452	0.607661056297156
gaussian	2	0	16.4	0.5226615646258503	0.8566801619433199	0.08738024446646846	0.15858502585625425
decision_tree	2	0	0.1	0.9930697278911564	0.9927125506072875	0.8884057971014493	0.9376673040152963
svm	2	0	0.3	0.05391156462585034	1.0	0.052582279558904925	0.09991101043604887
logReg	2	1	0.2	0.6695866281547421	0	0	0
gaussian	2	1	13.3	0.3304133718452578	1.0	0.3304133718452578	0.4967078335765384
decision_tree	2	1	0.1	0.6695866281547421	0	0	0
svm	2	1	0.4	0.7801032245844973	0.49871023215821153	0.7522697795071336	0.5997931747673216
logReg	3	0	0.4	0.9532680003239653	0.8374468085106384	0.5053929121725732	0.6303651505445228
gaussian	3	0	21.4	0.5230825301692719	0.8825531914893617	0.0818081413695172	0.1497364811204967
decision_tree	3	0	0.2	0.9945330849599093	0.9880851063829788	0.905616224648986	0.945054945054945
svm	3	0	0.4	0.05009314003401636	1.0	0.047702176031178954	0.09106056496299454
logReg	3	1	0.2	0.7500532708288941	0	0	0
gaussian	3	1	17.9	0.2499467291711059	1.0	0.2499467291711059	0.39993181043300374
decision_tree	3	1	0.2	0.2499467291711059	1.0	0.2499467291711059	0.39993181043300374
svm	3	1	0.6	0.2499467291711059	1.0	0.2499467291711059	0.39993181043300374
logReg	4	0	0.5	0.9600262883210268	0.8146021328958163	0.5513603553581343	0.657615894039735
gaussian	4	0	26.7	0.7397456218347702	0.6095159967186218	0.10615802257465352	0.18082258457045508
decision_tree	4	0	0.2	0.9952062473421734	0.9827727645611156	0.9208301306687163	0.9507936507936507
svm	4	0	0.4	0.048517416012680246	1.0	0.04719135921954241	0.09012939001848429
logReg	4	1	0.3	0.8012955281550088	0	0	0
gaussian	4	1	22.8	0.167367464060458	0.4997140406062339	0.11927106439613691	0.19257789899991734
decision_tree	4	1	0.2	0.19870447184499118	1.0	0.19870447184499118	0.33153204398938185
svm	4	1	0.7	0.19870447184499118	1.0	0.19870447184499118	0.33153204398938185
