model	fraud_prop	normalized	time	accuracy	precision	recall	F1
logReg	1	1	0.1	0.5010299026919526	0	0	0
gaussian	1	1	9.0	0.4989700973080474	1.0	0.4989700973080474	0.6657505686125853
decision_tree	1	1	0.1	0.4989700973080474	1.0	0.4989700973080474	0.6657505686125853
svm	1	1	0.3	0.4989700973080474	1.0	0.4989700973080474	0.6657505686125853
logReg	2	1	0.2	0.6695866281547421	0	0	0
gaussian	2	1	15.0	0.3304133718452578	1.0	0.3304133718452578	0.4967078335765384
decision_tree	2	1	0.2	0.3304133718452578	1.0	0.3304133718452578	0.4967078335765384
svm	2	1	0.6	0.3304133718452578	1.0	0.3304133718452578	0.4967078335765384
logReg	3	1	1.6	0.7500532708288941	0	0	0
gaussian	3	1	31.9	0.2499467291711059	1.0	0.2499467291711059	0.39993181043300374
decision_tree	3	1	0.2	0.2499467291711059	1.0	0.2499467291711059	0.39993181043300374
svm	3	1	0.8	0.7500532708288941	0	0	0
logReg	4	1	0.8	0.8012955281550088	0	0	0
gaussian	4	1	35.8	0.16600375021308028	0.4997140406062339	0.11907601103880618	0.1923235658274866
decision_tree	4	1	0.2	0.19870447184499118	1.0	0.19870447184499118	0.33153204398938185
svm	4	1	1.2	0.19870447184499118	1.0	0.19870447184499118	0.33153204398938185
