model	fraud_prop	normalized	time	accuracy	tp	tn	fp	fn
logReg	1	1	0.2	0.5010299026919526	0	7054	0	7025
gaussian	1	1	9.1	0.4989700973080474	7025	0	7054	0
decision_tree	1	1	0.1	0.4989700973080474	7025	0	7054	0
svm	1	1	0.3	0.534057816606293	3501	4018	3036	3524
logReg	2	1	0.2	0.6695866281547421	0	14141	0	6978
gaussian	2	1	14.3	0.3304133718452578	6978	0	14141	0
decision_tree	2	1	0.1	0.3304133718452578	6978	0	14141	0
svm	2	1	0.5	0.3304133718452578	6978	0	14141	0
logReg	3	1	0.3	0.7500532708288941	0	21120	0	7038
gaussian	3	1	19.0	0.2499467291711059	7038	0	21120	0
decision_tree	3	1	0.2	0.2499467291711059	7038	0	21120	0
svm	3	1	0.6	0.2499467291711059	7038	0	21120	0
logReg	4	1	0.4	0.8012955281550088	0	28204	0	6994
gaussian	4	1	25.3	0.16418546508324336	3495	2284	25920	3499
decision_tree	4	1	0.2	0.19870447184499118	6994	0	28204	0
svm	4	1	0.7	0.8012955281550088	0	28204	0	6994
