fraud_prop	normalized	x	y	z	time	accuracy	precision	recall	f1
20	1	256	64	2	29.0	0.0005933037580399402	1.0	0.0005933037580399402	0.0011859039148305371
20	1	256	256	2	44.4	0.0005933037580399402	1.0	0.0005933037580399402	0.0011859039148305371
20	1	512	64	2	38.5	0.0005933037580399402	1.0	0.0005933037580399402	0.0011859039148305371
20	1	256	64	2	8.5	0.5010299026919526	0	0	0
20	1	256	256	2	13.1	0.5010299026919526	0	0	0
20	1	512	64	2	10.2	0.5010299026919526	0	0	0
20	1	256	64	2	33.1	0.9993835848905925	0	0	0
20	1	256	256	2	37.7	0.9993835848905925	0	0	0
20	1	512	64	2	50.1	0.9993835848905925	0	0	0
20	1	256	64	2	11.8	0.6695866281547421	0	0	0
20	1	256	256	2	19.2	0.6695866281547421	0	0	0
20	1	512	64	2	18.6	0.6695866281547421	0	0	0
20	1	256	64	2	30.7	0.9994138756338873	0	0	0
20	1	256	256	2	54.2	0.9994138756338873	0	0	0
20	1	512	64	2	52.8	0.9994138756338873	0	0	0
20	1	256	64	2	14.0	0.7500532708288941	0	0	0
20	1	256	256	2	23.1	0.7500532708288941	0	0	0
20	1	512	64	2	24.0	0.7500532708288941	0	0	0
20	1	256	64	2	33.8	0.9993922827385864	0	0	0
20	1	256	256	2	59.8	0.9993922827385864	0	0	0
20	1	512	64	2	51.6	0.9993922827385864	0	0	0
20	1	256	64	2	19.8	0.8012955281550088	0	0	0
20	1	256	256	2	29.5	0.8012955281550088	0	0	0
20	1	512	64	2	29.3	0.8012955281550088	0	0	0
