fraud_prop	normalized	x	y	z	time	accuracy	tp	tn	fp	fn
20	1	256	64	2	67.4	0.00018712960977963284	1188	0	6347353	0
20	1	256	256	2	92.6	0.00018712960977963284	1188	0	6347353	0
20	1	512	64	2	108.8	0.00018712960977963284	1188	0	6347353	0
20	1	256	64	2	10.5	0.5010299026919526	0	7054	0	7025
20	1	256	256	2	16.7	0.5010299026919526	0	7054	0	7025
20	1	512	64	2	14.9	0.5010299026919526	0	7054	0	7025
20	1	256	64	2	67.5	0.9998052511542614	0	6340266	0	1235
20	1	256	256	2	101.8	0.9998052511542614	0	6340266	0	1235
20	1	512	64	2	119.4	0.9998052511542614	0	6340266	0	1235
20	1	256	64	2	13.2	0.6695866281547421	0	14141	0	6978
20	1	256	256	2	23.4	0.6695866281547421	0	14141	0	6978
20	1	512	64	2	21.2	0.6695866281547421	0	14141	0	6978
20	1	256	64	2	82.2	0.9998145067410619	0	6333287	0	1175
20	1	256	256	2	98.2	0.9998145067410619	0	6333287	0	1175
20	1	512	64	2	117.2	0.9998145067410619	0	6333287	0	1175
20	1	256	64	2	20.4	0.7500532708288941	0	21120	0	7038
20	1	256	256	2	27.2	0.7500532708288941	0	21120	0	7038
20	1	512	64	2	26.5	0.7500532708288941	0	21120	0	7038
20	1	256	64	2	68.1	0.9998073464990955	0	6326203	0	1219
20	1	256	256	2	99.2	0.9998073464990955	0	6326203	0	1219
20	1	512	64	2	88.4	0.9998073464990955	0	6326203	0	1219
20	1	256	64	2	25.7	0.8012955281550088	0	28204	0	6994
20	1	256	256	2	35.8	0.8012955281550088	0	28204	0	6994
20	1	512	64	2	37.1	0.8012955281550088	0	28204	0	6994
